Date,Price,Open,High,Low,Vol.,Change %
2/11/2019,24452.7,24567.5,24682.3,24337.9,794.50K,1.11%
2/12/2019,24835.4,24529.3,25026.7,24529.3,1.76M,1.57%
2/13/2019,24873.7,24911.9,24950.2,24682.3,1.96M,0.15%
2/14/2019,24797.1,24873.7,24911.9,24758.9,1.28M,-0.31%
2/15/2019,25371.1,24758.9,25868.6,24567.5,2.04M,2.31%
2/18/2019,25639,25639,25792.1,25409.4,1.20M,1.06%
2/19/2019,25179.8,25639,25830.3,25179.8,1.44M,-1.79%
2/20/2019,26021.7,25103.3,26710.5,24988.5,2.97M,3.34%
2/21/2019,26213,26213,26519.1,26021.7,2.71M,0.74%
2/22/2019,26021.7,26174.7,26557.4,26021.7,1.84M,-0.73%
2/25/2019,26021.7,26404.3,26404.3,25792.1,2.12M,0.00%
2/26/2019,25715.5,25792.1,26021.7,25639,1.77M,-1.18%
2/27/2019,25715.5,25715.5,25983.4,25639,942.09K,0.00%
2/28/2019,24873.7,25715.5,25830.3,24873.7,2.26M,-3.27%
3/1/2019,25141.5,24950.2,25332.9,24950.2,1.45M,1.08%
3/4/2019,25715.5,25332.9,25830.3,25256.3,1.15M,2.28%
3/5/2019,26480.9,25409.4,27016.6,25409.4,5.30M,2.98%
3/6/2019,26595.7,26480.9,26710.5,26327.8,2.01M,0.43%
3/7/2019,26710.5,26787,26978.3,26557.4,2.14M,0.43%
3/8/2019,26021.7,26366.1,26557.4,25945.1,2.28M,-2.58%
3/11/2019,25753.8,26098.2,26098.2,25600.7,1.43M,-1.03%
3/12/2019,27169.7,26098.2,27169.7,25868.6,2.13M,5.50%
3/13/2019,27246.2,27016.6,27514.1,26940.1,3.60M,0.28%
3/14/2019,27705.4,27246.2,28088.1,26940.1,3.33M,1.69%
3/15/2019,28470.8,27705.4,28700.4,27475.8,4.00M,2.76%
3/18/2019,28547.3,28470.8,28776.9,28241.2,3.68M,0.27%
3/19/2019,28011.6,28432.5,28547.3,27935,3.55M,-1.88%
3/20/2019,27628.9,27667.2,27935,27169.7,3.40M,-1.37%
3/21/2019,26633.9,27743.7,28049.8,26633.9,2.82M,-3.60%
3/22/2019,26863.5,27093.2,27322.8,26633.9,2.36M,0.86%
3/25/2019,26404.3,26098.2,26787,25639,2.63M,-1.71%
3/26/2019,26251.3,26710.5,26863.5,26174.7,1.31M,-0.58%
3/27/2019,26710.5,26672.2,26863.5,26251.3,1.56M,1.75%
3/28/2019,27246.2,26366.1,27437.6,26366.1,2.76M,2.01%
3/29/2019,27399.3,27246.2,27552.4,27246.2,2.08M,0.56%
4/1/2019,27169.7,27399.3,27782,27016.6,1.14M,-0.84%
4/2/2019,26633.9,27552.4,27552.4,26633.9,1.83M,-1.97%
4/3/2019,27322.8,26633.9,27628.9,26366.1,2.38M,2.59%
4/4/2019,27016.6,27552.4,27552.4,26901.8,1.33M,-1.12%
4/5/2019,26825.3,27016.6,27322.8,26633.9,927.74K,-0.71%
4/8/2019,27169.7,26633.9,27208,26633.9,1.31M,1.28%
4/9/2019,27361,27169.7,27705.4,27169.7,2.62M,0.70%
4/10/2019,26940.1,27361,27399.3,26940.1,657.17K,-1.54%
4/11/2019,26901.8,27016.6,27169.7,26748.7,809.91K,-0.14%
4/12/2019,26595.7,26863.5,26940.1,26557.4,1.12M,-1.14%
4/16/2019,27169.7,26480.9,27246.2,26174.7,1.77M,2.16%
4/17/2019,26633.9,27169.7,27169.7,26633.9,1.07M,-1.97%
4/18/2019,26633.9,26633.9,27093.2,26519.1,1.28M,0.00%
4/19/2019,26672.2,26633.9,26940.1,26557.4,369.60K,0.14%
4/22/2019,26174.7,26672.2,26672.2,25983.4,864.62K,-1.87%
4/23/2019,26174.7,26480.9,26480.9,25983.4,1.26M,0.00%
4/24/2019,26480.9,26404.3,26633.9,26251.3,676.77K,1.17%
4/25/2019,26404.3,26480.9,26787,26404.3,584.35K,-0.29%
4/26/2019,26633.9,26404.3,26710.5,26404.3,608.98K,0.87%
5/2/2019,26404.3,26787,26787,26404.3,608.05K,-0.86%
5/3/2019,26174.7,26404.3,26633.9,26174.7,698.44K,-0.87%
5/6/2019,25332.9,25753.8,25945.1,25256.3,1.53M,-3.22%
5/7/2019,25332.9,25485.9,25945.1,25179.8,1.19M,0.00%
5/8/2019,24758.9,25026.7,25256.3,24758.9,1.42M,-2.27%
5/9/2019,23802.2,24988.5,25103.3,23725.6,2.44M,-3.86%
5/10/2019,24491,24108.3,24644.1,24031.8,1.38M,2.89%
5/13/2019,25026.7,24491,25103.3,24491,979.04K,2.19%
5/14/2019,24797.1,24835.4,24950.2,24491,1.37M,-0.92%
5/15/2019,25179.8,24950.2,25332.9,24720.6,1.84M,1.54%
5/16/2019,24950.2,25218.1,25256.3,24835.4,976.23K,-0.91%
5/17/2019,24605.8,25026.7,25026.7,24491,1.18M,-1.38%
5/20/2019,25026.7,24567.5,25179.8,24567.5,1.21M,1.71%
5/21/2019,25294.6,25026.7,25447.7,24950.2,2.16M,1.07%
5/22/2019,25409.4,25294.6,25715.5,25294.6,1.59M,0.45%
5/23/2019,25562.5,25256.3,25562.5,24950.2,1.00M,0.60%
5/24/2019,24873.7,25332.9,25447.7,24873.7,1.90M,-2.69%
5/27/2019,24950.2,24873.7,25026.7,24797.1,661.59K,0.31%
5/28/2019,24720.6,24873.7,25103.3,24605.8,1.11M,-0.92%
5/29/2019,24491,24720.6,24835.4,24452.7,1.13M,-0.93%
5/30/2019,24337.9,24644.1,24720.6,24337.9,844.96K,-0.63%
5/31/2019,24108.3,24223.1,24414.4,24070,1.15M,-0.94%
6/3/2019,23419.5,24031.8,24108.3,23419.5,1.63M,-2.86%
6/4/2019,24491,23419.5,24491,23381.2,1.09M,4.58%
6/5/2019,24031.8,24491,24644.1,24031.8,607.13K,-1.87%
6/6/2019,23955.2,24031.8,24261.4,23649.1,414.54K,-0.32%
6/7/2019,24261.4,23955.2,24261.4,23955.2,577.67K,1.28%
6/10/2019,24261.4,24337.9,24567.5,24261.4,593.04K,0.00%
6/11/2019,24414.4,24337.9,24491,24184.8,734.99K,0.63%
6/12/2019,24108.3,24261.4,24414.4,24070,441.84K,-1.25%
6/13/2019,24108.3,24031.8,24299.6,24031.8,363.65K,0.00%
6/14/2019,24605.8,24261.4,24682.3,24108.3,2.00M,2.06%
6/17/2019,24567.5,24644.1,24911.9,24452.7,872.48K,-0.16%
6/18/2019,24491,24414.4,24567.5,24261.4,344.21K,-0.31%
6/19/2019,24491,24797.1,24797.1,24452.7,580.83K,0.00%
6/20/2019,24988.5,24491,25026.7,24414.4,1.44M,2.03%
6/21/2019,24873.7,25026.7,25218.1,24835.4,630.94K,-0.46%
6/24/2019,24950.2,24988.5,25256.3,24797.1,943.43K,0.31%
6/25/2019,24567.5,24950.2,25026.7,24567.5,923.72K,-1.53%
6/26/2019,24873.7,24491,24911.9,24414.4,1.32M,1.25%
6/27/2019,24491,24835.4,24835.4,24491,836.14K,-1.54%
6/28/2019,24261.4,24491,24644.1,24031.8,821.52K,-0.94%
7/1/2019,24758.9,24644.1,24873.7,24567.5,692.29K,2.05%
7/2/2019,24529.3,24567.5,24797.1,24529.3,571.93K,-0.93%
7/3/2019,24567.5,24491,24797.1,24491,515.51K,0.16%
7/4/2019,25103.3,24797.1,25141.5,24644.1,1.44M,2.18%
7/5/2019,25103.3,24988.5,25409.4,24950.2,1.52M,0.00%
7/8/2019,24911.9,25179.8,25179.8,24797.1,709.57K,-0.76%
7/9/2019,24950.2,24797.1,25026.7,24797.1,507.71K,0.15%
7/10/2019,24797.1,24950.2,25141.5,24797.1,879.25K,-0.61%
7/11/2019,25600.7,24950.2,25639,24797.1,3.10M,3.24%
7/12/2019,25562.5,25639,25868.6,25485.9,1.78M,-0.15%
7/15/2019,25485.9,25485.9,25639,25447.7,1.15M,-0.30%
7/16/2019,26442.6,25600.7,26442.6,25600.7,4.14M,3.75%
7/17/2019,26442.6,26404.3,26710.5,26213,1.95M,0.00%
7/18/2019,26557.4,26366.1,26557.4,26174.7,1.81M,0.43%
7/19/2019,26710.5,26787,27093.2,26557.4,2.15M,0.58%
7/22/2019,27361,26940.1,27514.1,26787,3.60M,2.44%
7/23/2019,26978.3,27361,27361,26557.4,2.68M,-1.40%
7/24/2019,26366.1,27093.2,27093.2,26174.7,2.37M,-2.27%
7/25/2019,26940.1,26251.3,26940.1,26251.3,1.66M,2.18%
7/26/2019,27399.3,26787,27475.8,26787,2.75M,1.70%
7/29/2019,27399.3,27322.8,27399.3,27016.6,1.70M,0.00%
7/30/2019,26787,27246.2,27246.2,26748.7,2.04M,-2.23%
7/31/2019,27169.7,26787,27169.7,26557.4,1.17M,1.43%
8/1/2019,27131.4,27169.7,27169.7,26825.3,936.57K,-0.14%
8/2/2019,27399.3,26787,27552.4,26710.5,2.29M,0.99%
8/5/2019,27399.3,27169.7,27399.3,27131.4,2.48M,0.00%
8/6/2019,26940.1,26404.3,27284.5,26404.3,1.55M,-1.68%
8/7/2019,26557.4,27054.9,27169.7,26557.4,1.36M,-1.42%
8/8/2019,26557.4,26557.4,26901.8,26519.1,1.14M,0.00%
8/9/2019,26557.4,26787,26787,26174.7,1.26M,0.00%
8/12/2019,27054.9,26672.2,27093.2,26059.9,1.73M,1.87%
8/13/2019,26710.5,26825.3,27093.2,26595.7,1.03M,-1.27%
8/14/2019,26863.5,27016.6,27093.2,26595.7,654.82K,0.57%
8/15/2019,26863.5,26404.3,26863.5,26404.3,693.16K,0.00%
8/16/2019,27552.4,26787,28088.1,26710.5,4.07M,2.56%
8/19/2019,28088.1,27935,28317.7,27782,1.42M,1.94%
8/20/2019,28164.6,28279.4,28279.4,27973.3,1.01M,0.27%
8/21/2019,28968.2,27935,29274.4,27935,3.38M,2.85%
