Date,Price,Open,High,Low,Vol.,Change %
2/11/2019,10571.1,10523.1,10595.1,10499.2,8.61M,0.92%
2/12/2019,10547.1,10619,10619,10403.3,16.58M,-0.23%
2/13/2019,10547.1,10547.1,10595.1,10523.1,15.83M,0.00%
2/14/2019,10595.1,10547.1,10595.1,10523.1,10.26M,0.46%
2/15/2019,10571.1,10595.1,10619,10547.1,9.74M,-0.23%
2/18/2019,10595.1,10595.1,10643,10571.1,13.54M,0.23%
2/19/2019,10523.1,10595.1,10595.1,10499.2,27.71M,-0.68%
2/20/2019,10571.1,10451.2,10571.1,10451.2,19.69M,0.46%
2/21/2019,10595.1,10547.1,10595.1,10523.1,16.24M,0.23%
2/22/2019,10786.8,10595.1,10978.6,10547.1,15.13M,1.81%
2/25/2019,10762.8,10834.8,10930.6,10762.8,10.08M,-0.22%
2/26/2019,10571.1,10762.8,10762.8,10571.1,13.79M,-1.78%
2/27/2019,10571.1,10571.1,10643,10547.1,23.90M,0.00%
2/28/2019,10307.4,10547.1,10571.1,10307.4,11.85M,-2.49%
3/1/2019,10451.2,10379.3,10475.2,10331.4,5.30M,1.40%
3/4/2019,10619,10451.2,10619,10427.3,7.45M,1.61%
3/5/2019,10619,10571.1,10738.9,10571.1,9.72M,0.00%
3/6/2019,10619,10619,10690.9,10547.1,4.65M,0.00%
3/7/2019,10643,10619,10690.9,10595.1,6.43M,0.23%
3/8/2019,10475.2,10547.1,10595.1,10451.2,6.66M,-1.58%
3/11/2019,10451.2,10523.1,10523.1,10427.3,3.11M,-0.23%
3/12/2019,10810.8,10523.1,10834.8,10403.3,13.80M,3.44%
3/13/2019,10834.8,10834.8,10930.6,10786.8,12.23M,0.22%
3/14/2019,10786.8,10882.7,10930.6,10786.8,7.00M,-0.44%
3/15/2019,10786.8,10786.8,10882.7,10714.9,6.55M,0.00%
3/18/2019,10906.7,10834.8,10930.6,10786.8,9.64M,1.11%
3/19/2019,10858.7,10954.6,11050.5,10834.8,13.08M,-0.44%
3/20/2019,11002.6,10906.7,11002.6,10786.8,16.20M,1.33%
3/21/2019,10930.6,11074.5,11170.3,10930.6,15.85M,-0.65%
3/22/2019,10978.6,11002.6,11074.5,10906.7,8.33M,0.44%
3/25/2019,10619,10738.9,10810.8,10571.1,13.43M,-3.28%
3/26/2019,10619,10690.9,10786.8,10619,8.72M,0.00%
3/27/2019,10738.9,10643,10834.8,10643,5.01M,1.13%
3/28/2019,10738.9,10690.9,10786.8,10690.9,3.55M,0.00%
3/29/2019,10738.9,10762.8,10810.8,10714.9,5.06M,0.00%
4/1/2019,10738.9,10762.8,10810.8,10690.9,3.61M,0.00%
4/2/2019,10762.8,10810.8,10834.8,10714.9,6.36M,0.22%
4/3/2019,10786.8,10714.9,10810.8,10714.9,6.72M,0.22%
4/4/2019,10858.7,10834.8,10906.7,10810.8,6.51M,0.67%
4/5/2019,10908,11006.5,11031.1,10908,5.85M,0.45%
4/8/2019,11006.5,10908,11006.5,10858.7,6.79M,0.90%
