Date,Price,Open,High,Low,Vol.,Change %
2/11/2019,44617,43772,44693,43618,1.78M,2.83%
2/12/2019,45001,44617,45308,44386,2.15M,0.86%
2/13/2019,45922,45001,45999,45001,2.37M,2.05%
2/14/2019,46229,45922,46306,45769,2.08M,0.67%
2/15/2019,45538,46076,46076,45461,1.59M,-1.49%
2/18/2019,46076,45692,46076,45692,1.31M,1.18%
2/19/2019,45308,46076,46229,45308,1.66M,-1.67%
2/20/2019,45385,45538,45769,45231,1.04M,0.17%
2/21/2019,46152,45692,46152,45385,2.61M,1.69%
2/22/2019,47612,46229,47919,46076,3.19M,3.16%
2/25/2019,48687,47995,49071,47842,2.65M,2.26%
2/26/2019,48379,48687,48763,47535,2.52M,-0.63%
2/27/2019,47535,48226,48379,47304,1.47M,-1.74%
2/28/2019,46460,47535,47995,46460,2.59M,-2.26%
3/1/2019,47765,46844,47765,46690,910.43K,2.81%
3/4/2019,48226,47765,48379,47765,1.72M,0.97%
3/5/2019,48379,48226,48994,47995,2.01M,0.32%
3/6/2019,48149,48456,48610,47535,1.38M,-0.48%
3/7/2019,48456,48149,48994,48072,2.42M,0.64%
3/8/2019,48226,47919,48379,47688,1.27M,-0.47%
3/11/2019,48072,47919,48149,47535,1.30M,-0.32%
3/12/2019,49762,48379,49762,48149,2.80M,3.52%
3/13/2019,50069,49915,50069,49531,2.14M,0.62%
3/14/2019,51451,50069,51451,49531,2.90M,2.76%
3/15/2019,50683,51605,51605,50683,3.34M,-1.49%
3/18/2019,51912,51067,52066,51067,2.47M,2.42%
3/19/2019,51298,51912,51912,51221,1.77M,-1.18%
3/20/2019,51221,51221,51605,50837,3.11M,-0.15%
3/21/2019,51144,51374,52142,51067,1.95M,-0.15%
3/22/2019,51374,51298,51451,51067,1.76M,0.45%
3/25/2019,50299,49915,50683,49147,2.09M,-2.09%
3/26/2019,50299,50760,51067,50299,1.44M,0.00%
3/27/2019,50299,50606,50606,49685,686.72K,0.00%
3/28/2019,51221,50453,51221,50222,947.39K,1.83%
3/29/2019,51682,51451,51835,51298,865.19K,0.90%
4/1/2019,52066,52142,52142,51912,872.86K,0.74%
4/2/2019,51835,52219,52603,51835,710.69K,-0.44%
4/3/2019,51605,51835,51912,51067,568.65K,-0.44%
4/4/2019,51989,51605,52142,51298,1.21M,0.74%
4/5/2019,52296,52066,52373,52066,609.33K,0.59%
4/8/2019,53525,52296,53525,52142,1.43M,2.35%
4/9/2019,53601,53525,53755,53294,968.71K,0.14%
4/10/2019,52910,53371,53371,52833,917.48K,-1.29%
