Date,Price,Open,High,Low,Vol.,Change %
1/2/2018,"20,664.30","19,516.30","20,664.30","19,286.70",3.65M,5.88%
1/3/2018,"20,511.20","20,664.30","20,702.50","20,281.60",3.09M,-0.74%
1/4/2018,"21,085.20","20,511.20","21,200.00","20,319.90",5.56M,2.80%
1/5/2018,"20,970.40","21,046.90","21,085.20","20,626.00",2.40M,-0.54%
1/8/2018,"21,314.80","21,200.00","21,582.70","20,970.40",2.58M,1.64%
1/9/2018,"20,970.40","21,314.80","21,391.30","19,898.90",5.30M,-1.62%
1/10/2018,"21,008.70","20,970.40","21,620.90","20,893.90",3.54M,0.18%
1/11/2018,"21,123.50","21,046.90","21,238.30","20,779.10",1.97M,0.55%
1/12/2018,"20,855.60","20,817.30","21,085.20","20,740.80",3.13M,-1.27%
1/15/2018,"20,893.90","20,702.50","21,200.00","20,472.90",2.25M,0.18%
1/16/2018,"21,200.00","20,932.10","21,353.10","20,855.60",2.98M,1.47%
1/17/2018,"20,664.30","21,200.00","21,506.10","20,664.30",3.58M,-2.53%
1/18/2018,"20,740.80","20,358.10","20,740.80","20,128.50",2.31M,0.37%
1/19/2018,"20,587.70","20,817.30","20,893.90","20,358.10",4.47M,-0.74%
1/22/2018,"21,774.00","20,587.70","21,888.80","20,549.50",6.34M,5.76%
1/25/2018,"23,266.40","22,271.50","23,266.40","22,041.90",10.04M,6.85%
1/26/2018,"24,873.70","24,873.70","24,873.70","24,108.30",7.14M,6.91%
1/29/2018,"26,480.90","25,256.30","26,595.70","25,256.30",5.53M,6.46%
1/30/2018,"27,552.40","25,141.50","27,552.40","25,141.50",4.13M,4.05%
1/31/2018,"26,174.70","28,470.80","28,509.00","26,174.70",2.21M,-5.00%
2/1/2018,"25,792.10","26,404.30","26,442.60","25,179.80",2.38M,-1.46%
2/2/2018,"25,792.10","25,485.90","26,251.30","25,332.90",2.23M,0.00%
2/5/2018,"23,993.50","25,409.40","25,562.50","23,993.50",3.51M,-6.97%
2/6/2018,"22,348.00","22,348.00","23,572.60","22,348.00",4.17M,-6.86%
2/7/2018,"23,878.70","23,878.70","23,878.70","22,960.30",2.59M,6.85%
2/8/2018,"24,644.10","23,878.70","25,103.30","23,878.70",2.57M,3.21%
2/9/2018,"24,720.60","22,960.30","25,256.30","22,922.00",2.26M,0.31%
2/12/2018,"26,442.60","25,256.30","26,442.60","24,873.70",2.97M,6.97%
2/13/2018,"27,093.20","27,858.50","27,935.00","26,787.00",3.09M,2.46%
2/21/2018,"28,623.80","27,552.40","28,968.20","27,246.20",2.69M,5.65%
2/22/2018,"28,164.60","28,317.70","29,542.20","28,126.40",3.59M,-1.60%
2/23/2018,"28,394.20","28,317.70","28,700.40","27,475.80",4.56M,0.82%
